원본	매칭용처리후	법정동코드
강원도 강릉시	강원도 강릉시	4215000000
강원도 강릉시 강동면 모전리	강원도 강릉시 강동면 모전리	4215034022
강원도 강릉시 강동면 산성우리	강원도 강릉시 강동면 산성우리	4215034030
강원도 강릉시 강동면 상시동리	강원도 강릉시 강동면 상시동리	4215034021
강원도 강릉시 강동면 심곡리	강원도 강릉시 강동면 심곡리	4215034029
강원도 강릉시 강동면 안인리	강원도 강릉시 강동면 안인리	4215034023
강원도 강릉시 강동면 안인진리	강원도 강릉시 강동면 안인진리	4215034024
강원도 강릉시 강동면 언별리	강원도 강릉시 강동면 언별리	4215034031
강원도 강릉시 강동면 임곡리	강원도 강릉시 강동면 임곡리	4215034025
강원도 강릉시 강동면 정동진리	강원도 강릉시 강동면 정동진리	4215034028
강원도 강릉시 강동면 하시동리	강원도 강릉시 강동면 하시동리	4215034026
강원도 강릉시 강문동	강원도 강릉시 강문동	4215011300
강원도 강릉시 견소동	강원도 강릉시 견소동	4215011500
강원도 강릉시 교동	강원도 강릉시 교동	4215011000
강원도 강릉시 구정면 구정리	강원도 강릉시 구정면 구정리	4215033023
강원도 강릉시 구정면 금광리	강원도 강릉시 구정면 금광리	4215033024
강원도 강릉시 구정면 덕현리	강원도 강릉시 구정면 덕현리	4215033026
강원도 강릉시 구정면 어단리	강원도 강릉시 구정면 어단리	4215033025
강원도 강릉시 구정면 여찬리	강원도 강릉시 구정면 여찬리	4215033021
강원도 강릉시 구정면 제비리	강원도 강릉시 구정면 제비리	4215033027
강원도 강릉시 구정면 학산리	강원도 강릉시 구정면 학산리	4215033022
강원도 강릉시 금학동	강원도 강릉시 금학동	4215010600
강원도 강릉시 난곡동	강원도 강릉시 난곡동	4215013600
강원도 강릉시 남문동	강원도 강릉시 남문동	4215010200
강원도 강릉시 남항진동	강원도 강릉시 남항진동	4215013000
강원도 강릉시 내곡동	강원도 강릉시 내곡동	4215011600
강원도 강릉시 노암동	강원도 강릉시 노암동	4215012100
강원도 강릉시 담산동	강원도 강릉시 담산동	4215012000
강원도 강릉시 대전동	강원도 강릉시 대전동	4215013400
강원도 강릉시 두산동	강원도 강릉시 두산동	4215012700
강원도 강릉시 명주동	강원도 강릉시 명주동	4215010300
강원도 강릉시 박월동	강원도 강릉시 박월동	4215011900
강원도 강릉시 병산동	강원도 강릉시 병산동	4215012900
강원도 강릉시 사천면 노동리	강원도 강릉시 사천면 노동리	4215036022
강원도 강릉시 사천면 덕실리	강원도 강릉시 사천면 덕실리	4215036026
강원도 강릉시 사천면 미노리	강원도 강릉시 사천면 미노리	4215036021
강원도 강릉시 사천면 방동리	강원도 강릉시 사천면 방동리	4215036027
강원도 강릉시 사천면 사기막리	강원도 강릉시 사천면 사기막리	4215036029
강원도 강릉시 사천면 사천진리	강원도 강릉시 사천면 사천진리	4215036025
강원도 강릉시 사천면 산대월리	강원도 강릉시 사천면 산대월리	4215036028
강원도 강릉시 사천면 석교리	강원도 강릉시 사천면 석교리	4215036023
강원도 강릉시 사천면 판교리	강원도 강릉시 사천면 판교리	4215036024
강원도 강릉시 성남동	강원도 강릉시 성남동	4215010800
강원도 강릉시 성내동	강원도 강릉시 성내동	4215010400
강원도 강릉시 성산면 관음리	강원도 강릉시 성산면 관음리	4215031022
강원도 강릉시 성산면 구산리	강원도 강릉시 성산면 구산리	4215031021
강원도 강릉시 성산면 금산리	강원도 강릉시 성산면 금산리	4215031023
강원도 강릉시 성산면 보광리	강원도 강릉시 성산면 보광리	4215031026
강원도 강릉시 성산면 산북리	강원도 강릉시 성산면 산북리	4215031029
강원도 강릉시 성산면 송암리	강원도 강릉시 성산면 송암리	4215031025
강원도 강릉시 성산면 어흘리	강원도 강릉시 성산면 어흘리	4215031027
강원도 강릉시 성산면 오봉리	강원도 강릉시 성산면 오봉리	4215031028
강원도 강릉시 성산면 위촌리	강원도 강릉시 성산면 위촌리	4215031024
강원도 강릉시 송정동	강원도 강릉시 송정동	4215011400
강원도 강릉시 신석동	강원도 강릉시 신석동	4215012400
강원도 강릉시 안현동	강원도 강릉시 안현동	4215013800
강원도 강릉시 연곡면 동덕리	강원도 강릉시 연곡면 동덕리	4215037023
강원도 강릉시 연곡면 방내리	강원도 강릉시 연곡면 방내리	4215037021
강원도 강릉시 연곡면 삼산리	강원도 강릉시 연곡면 삼산리	4215037028
강원도 강릉시 연곡면 송림리	강원도 강릉시 연곡면 송림리	4215037024
강원도 강릉시 연곡면 신왕리	강원도 강릉시 연곡면 신왕리	4215037026
강원도 강릉시 연곡면 영진리	강원도 강릉시 연곡면 영진리	4215037022
강원도 강릉시 연곡면 유등리	강원도 강릉시 연곡면 유등리	4215037027
강원도 강릉시 연곡면 퇴곡리	강원도 강릉시 연곡면 퇴곡리	4215037029
강원도 강릉시 연곡면 행정리	강원도 강릉시 연곡면 행정리	4215037025
강원도 강릉시 옥계면 금진리	강원도 강릉시 옥계면 금진리	4215035029
강원도 강릉시 옥계면 낙풍리	강원도 강릉시 옥계면 낙풍리	4215035028
강원도 강릉시 옥계면 남양리	강원도 강릉시 옥계면 남양리	4215035026
강원도 강릉시 옥계면 도직리	강원도 강릉시 옥계면 도직리	4215035024
강원도 강릉시 옥계면 북동리	강원도 강릉시 옥계면 북동리	4215035027
강원도 강릉시 옥계면 산계리	강원도 강릉시 옥계면 산계리	4215035030
강원도 강릉시 옥계면 조산리	강원도 강릉시 옥계면 조산리	4215035025
강원도 강릉시 옥계면 주수리	강원도 강릉시 옥계면 주수리	4215035023
강원도 강릉시 옥계면 천남리	강원도 강릉시 옥계면 천남리	4215035022
강원도 강릉시 옥계면 현내리	강원도 강릉시 옥계면 현내리	4215035021
강원도 강릉시 옥천동	강원도 강릉시 옥천동	4215010900
강원도 강릉시 왕산면 고단리	강원도 강릉시 왕산면 고단리	4215032024
강원도 강릉시 왕산면 대기리	강원도 강릉시 왕산면 대기리	4215032026
강원도 강릉시 왕산면 도마리	강원도 강릉시 왕산면 도마리	4215032021
강원도 강릉시 왕산면 목계리	강원도 강릉시 왕산면 목계리	4215032022
강원도 강릉시 왕산면 송현리	강원도 강릉시 왕산면 송현리	4215032025
강원도 강릉시 왕산면 왕산리	강원도 강릉시 왕산면 왕산리	4215032023
강원도 강릉시 용강동	강원도 강릉시 용강동	4215010700
강원도 강릉시 운산동	강원도 강릉시 운산동	4215013900
강원도 강릉시 운정동	강원도 강릉시 운정동	4215013500
강원도 강릉시 월호평동	강원도 강릉시 월호평동	4215012300
강원도 강릉시 유산동	강원도 강릉시 유산동	4215012200
강원도 강릉시 유천동	강원도 강릉시 유천동	4215013100
강원도 강릉시 임당동	강원도 강릉시 임당동	4215010500
강원도 강릉시 입암동	강원도 강릉시 입암동	4215012500
강원도 강릉시 장현동	강원도 강릉시 장현동	4215011800
강원도 강릉시 저동	강원도 강릉시 저동	4215013700
강원도 강릉시 주문진읍 교항리	강원도 강릉시 주문진읍 교항리	4215025022
강원도 강릉시 주문진읍 삼교리	강원도 강릉시 주문진읍 삼교리	4215025024
강원도 강릉시 주문진읍 장덕리	강원도 강릉시 주문진읍 장덕리	4215025023
강원도 강릉시 주문진읍 주문리	강원도 강릉시 주문진읍 주문리	4215025021
강원도 강릉시 주문진읍 향호리	강원도 강릉시 주문진읍 향호리	4215025025
강원도 강릉시 죽헌동	강원도 강릉시 죽헌동	4215013300
강원도 강릉시 지변동	강원도 강릉시 지변동	4215013200
강원도 강릉시 청량동	강원도 강릉시 청량동	4215012600
강원도 강릉시 초당동	강원도 강릉시 초당동	4215011200
강원도 강릉시 포남동	강원도 강릉시 포남동	4215011100
강원도 강릉시 학동	강원도 강릉시 학동	4215012800
강원도 강릉시 홍제동	강원도 강릉시 홍제동	4215010100
강원도 강릉시 회산동	강원도 강릉시 회산동	4215011700
강원도 고성군 간성읍 간촌리	강원도 고성군 간성읍 간촌리	4282025026
강원도 고성군 간성읍 광산리	강원도 고성군 간성읍 광산리	4282025029
강원도 고성군 간성읍 교동리	강원도 고성군 간성읍 교동리	4282025027
강원도 고성군 간성읍 금수리	강원도 고성군 간성읍 금수리	4282025035
강원도 고성군 간성읍 동호리	강원도 고성군 간성읍 동호리	4282025023
강원도 고성군 간성읍 봉호리	강원도 고성군 간성읍 봉호리	4282025024
강원도 고성군 간성읍 상리	강원도 고성군 간성읍 상리	4282025025
강원도 고성군 간성읍 신안리	강원도 고성군 간성읍 신안리	4282025022
강원도 고성군 간성읍 어천리	강원도 고성군 간성읍 어천리	4282025030
강원도 고성군 간성읍 장신리	강원도 고성군 간성읍 장신리	4282025031
강원도 고성군 간성읍 진부리	강원도 고성군 간성읍 진부리	4282025032
강원도 고성군 간성읍 탑동리	강원도 고성군 간성읍 탑동리	4282025033
강원도 고성군 간성읍 하리	강원도 고성군 간성읍 하리	4282025021
강원도 고성군 간성읍 해상리	강원도 고성군 간성읍 해상리	4282025028
강원도 고성군 간성읍 흘리	강원도 고성군 간성읍 흘리	4282025037
강원도 고성군 거진읍 거진리	강원도 고성군 거진읍 거진리	4282025321
강원도 고성군 거진읍 대대리	강원도 고성군 거진읍 대대리	4282025330
강원도 고성군 거진읍 반암리	강원도 고성군 거진읍 반암리	4282025332
강원도 고성군 거진읍 봉평리	강원도 고성군 거진읍 봉평리	4282025334
강원도 고성군 거진읍 산북리	강원도 고성군 거진읍 산북리	4282025326
강원도 고성군 거진읍 석문리	강원도 고성군 거진읍 석문리	4282025328
강원도 고성군 거진읍 송강리	강원도 고성군 거진읍 송강리	4282025327
강원도 고성군 거진읍 송정리	강원도 고성군 거진읍 송정리	4282025324
강원도 고성군 거진읍 송죽리	강원도 고성군 거진읍 송죽리	4282025331
강원도 고성군 거진읍 송포리	강원도 고성군 거진읍 송포리	4282025333
강원도 고성군 거진읍 오정리	강원도 고성군 거진읍 오정리	4282025336
강원도 고성군 거진읍 용하리	강원도 고성군 거진읍 용하리	4282025325
강원도 고성군 거진읍 원당리	강원도 고성군 거진읍 원당리	4282025323
강원도 고성군 거진읍 자산리	강원도 고성군 거진읍 자산리	4282025337
강원도 고성군 거진읍 초계리	강원도 고성군 거진읍 초계리	4282025329
강원도 고성군 거진읍 화포리	강원도 고성군 거진읍 화포리	4282025322
강원도 고성군 죽왕면 가진리	강원도 고성군 죽왕면 가진리	4282032023
강원도 고성군 죽왕면 공현진리	강원도 고성군 죽왕면 공현진리	4282032024
강원도 고성군 죽왕면 구성리	강원도 고성군 죽왕면 구성리	4282032027
강원도 고성군 죽왕면 문암진리	강원도 고성군 죽왕면 문암진리	4282032031
강원도 고성군 죽왕면 삼포리	강원도 고성군 죽왕면 삼포리	4282032029
강원도 고성군 죽왕면 송암리	강원도 고성군 죽왕면 송암리	4282032032
강원도 고성군 죽왕면 야촌리	강원도 고성군 죽왕면 야촌리	4282032030
강원도 고성군 죽왕면 오봉리	강원도 고성군 죽왕면 오봉리	4282032025
강원도 고성군 죽왕면 오호리	강원도 고성군 죽왕면 오호리	4282032021
강원도 고성군 죽왕면 인정리	강원도 고성군 죽왕면 인정리	4282032026
강원도 고성군 죽왕면 향목리	강원도 고성군 죽왕면 향목리	4282032022
강원도 고성군 토성면 교암리	강원도 고성군 토성면 교암리	4282033024
강원도 고성군 토성면 금화정리	강원도 고성군 토성면 금화정리	4282033037
강원도 고성군 토성면 도원리	강원도 고성군 토성면 도원리	4282033028
강원도 고성군 토성면 백촌리	강원도 고성군 토성면 백촌리	4282033025
강원도 고성군 토성면 봉포리	강원도 고성군 토성면 봉포리	4282033035
강원도 고성군 토성면 성대리	강원도 고성군 토성면 성대리	4282033036
강원도 고성군 토성면 성천리	강원도 고성군 토성면 성천리	4282033032
강원도 고성군 토성면 신평리	강원도 고성군 토성면 신평리	4282033030
강원도 고성군 토성면 아야진리	강원도 고성군 토성면 아야진리	4282033023
강원도 고성군 토성면 용암리	강원도 고성군 토성면 용암리	4282033029
강원도 고성군 토성면 용촌리	강원도 고성군 토성면 용촌리	4282033034
강원도 고성군 토성면 운봉리	강원도 고성군 토성면 운봉리	4282033026
강원도 고성군 토성면 원암리	강원도 고성군 토성면 원암리	4282033033
강원도 고성군 토성면 인흥리	강원도 고성군 토성면 인흥리	4282033031
강원도 고성군 토성면 천진리	강원도 고성군 토성면 천진리	4282033021
강원도 고성군 토성면 청간리	강원도 고성군 토성면 청간리	4282033022
강원도 고성군 토성면 학야리	강원도 고성군 토성면 학야리	4282033027
강원도 고성군 현내면 검장리	강원도 고성군 현내면 검장리	4282031032
강원도 고성군 현내면 대진리	강원도 고성군 현내면 대진리	4282031021
강원도 고성군 현내면 마달리	강원도 고성군 현내면 마달리	4282031027
강원도 고성군 현내면 마차진리	강원도 고성군 현내면 마차진리	4282031028
강원도 고성군 현내면 명파리	강원도 고성군 현내면 명파리	4282031029
강원도 고성군 현내면 명호리	강원도 고성군 현내면 명호리	4282031035
강원도 고성군 현내면 배봉리	강원도 고성군 현내면 배봉리	4282031030
강원도 고성군 현내면 사천리	강원도 고성군 현내면 사천리	4282031033
강원도 고성군 현내면 산학리	강원도 고성군 현내면 산학리	4282031025
강원도 고성군 현내면 송현리	강원도 고성군 현내면 송현리	4282031034
강원도 고성군 현내면 제진리	강원도 고성군 현내면 제진리	4282031037
강원도 고성군 현내면 죽정리	강원도 고성군 현내면 죽정리	4282031024
강원도 고성군 현내면 철통리	강원도 고성군 현내면 철통리	4282031022
강원도 고성군 현내면 초도리	강원도 고성군 현내면 초도리	4282031023
강원도 고성군 현내면 화곡리	강원도 고성군 현내면 화곡리	4282031026
강원도 동해시 괴란동	강원도 동해시 괴란동	4217013200
강원도 동해시 구미동	강원도 동해시 구미동	4217011300
강원도 동해시 구호동	강원도 동해시 구호동	4217011500
강원도 동해시 귀운동	강원도 동해시 귀운동	4217011900
강원도 동해시 나안동	강원도 동해시 나안동	4217010800
강원도 동해시 내동	강원도 동해시 내동	4217012200
강원도 동해시 단봉동	강원도 동해시 단봉동	4217011600
강원도 동해시 달방동	강원도 동해시 달방동	4217013600
강원도 동해시 대구동	강원도 동해시 대구동	4217012000
강원도 동해시 대진동	강원도 동해시 대진동	4217012800
강원도 동해시 동회동	강원도 동해시 동회동	4217010700
강원도 동해시 만우동	강원도 동해시 만우동	4217013300
강원도 동해시 망상동	강원도 동해시 망상동	4217012900
강원도 동해시 묵호진동	강원도 동해시 묵호진동	4217012300
강원도 동해시 발한동	강원도 동해시 발한동	4217011100
강원도 동해시 부곡동	강원도 동해시 부곡동	4217011000
강원도 동해시 북평동	강원도 동해시 북평동	4217011200
강원도 동해시 비천동	강원도 동해시 비천동	4217013500
강원도 동해시 삼화동	강원도 동해시 삼화동	4217012400
강원도 동해시 송정동	강원도 동해시 송정동	4217010300
강원도 동해시 쇄운동	강원도 동해시 쇄운동	4217010900
강원도 동해시 신흥동	강원도 동해시 신흥동	4217013400
강원도 동해시 심곡동	강원도 동해시 심곡동	4217013000
강원도 동해시 어달동	강원도 동해시 어달동	4217012700
강원도 동해시 용정동	강원도 동해시 용정동	4217010400
강원도 동해시 이기동	강원도 동해시 이기동	4217012500
강원도 동해시 이도동	강원도 동해시 이도동	4217011800
강원도 동해시 이로동	강원도 동해시 이로동	4217012600
강원도 동해시 지가동	강원도 동해시 지가동	4217011700
강원도 동해시 지흥동	강원도 동해시 지흥동	4217010500
강원도 동해시 천곡동	강원도 동해시 천곡동	4217010100
강원도 동해시 초구동	강원도 동해시 초구동	4217013100
강원도 동해시 추암동	강원도 동해시 추암동	4217011400
강원도 동해시 평릉동	강원도 동해시 평릉동	4217010200
강원도 동해시 호현동	강원도 동해시 호현동	4217012100
강원도 동해시 효가동	강원도 동해시 효가동	4217010600
강원도 삼척시 가곡면 동활리	강원도 삼척시 가곡면 동활리	4223035025
강원도 삼척시 가곡면 오목리	강원도 삼척시 가곡면 오목리	4223035021
강원도 삼척시 가곡면 오저리	강원도 삼척시 가곡면 오저리	4223035023
강원도 삼척시 가곡면 탕곡리	강원도 삼척시 가곡면 탕곡리	4223035022
강원도 삼척시 가곡면 풍곡리	강원도 삼척시 가곡면 풍곡리	4223035024
강원도 삼척시 갈천동	강원도 삼척시 갈천동	4223010700
강원도 삼척시 건지동	강원도 삼척시 건지동	4223011700
강원도 삼척시 교동	강원도 삼척시 교동	4223010600
강원도 삼척시 근덕면 광태리	강원도 삼척시 근덕면 광태리	4223031028
강원도 삼척시 근덕면 교가리	강원도 삼척시 근덕면 교가리	4223031024
강원도 삼척시 근덕면 교곡리	강원도 삼척시 근덕면 교곡리	4223031025
강원도 삼척시 근덕면 궁촌리	강원도 삼척시 근덕면 궁촌리	4223031030
강원도 삼척시 근덕면 금계리	강원도 삼척시 근덕면 금계리	4223031023
강원도 삼척시 근덕면 덕산리	강원도 삼척시 근덕면 덕산리	4223031026
강원도 삼척시 근덕면 동막리	강원도 삼척시 근덕면 동막리	4223031029
강원도 삼척시 근덕면 매원리	강원도 삼척시 근덕면 매원리	4223031031
강원도 삼척시 근덕면 부남리	강원도 삼척시 근덕면 부남리	4223031027
강원도 삼척시 근덕면 상맹방리	강원도 삼척시 근덕면 상맹방리	4223031021
강원도 삼척시 근덕면 용화리	강원도 삼척시 근덕면 용화리	4223031033
강원도 삼척시 근덕면 장호리	강원도 삼척시 근덕면 장호리	4223031034
강원도 삼척시 근덕면 초곡리	강원도 삼척시 근덕면 초곡리	4223031032
강원도 삼척시 근덕면 하맹방리	강원도 삼척시 근덕면 하맹방리	4223031022
강원도 삼척시 근산동	강원도 삼척시 근산동	4223012700
강원도 삼척시 남양동	강원도 삼척시 남양동	4223012000
강원도 삼척시 노곡면 개산리	강원도 삼척시 노곡면 개산리	4223033028
강원도 삼척시 노곡면 고자리	강원도 삼척시 노곡면 고자리	4223033026
강원도 삼척시 노곡면 둔달리	강원도 삼척시 노곡면 둔달리	4223033032
강원도 삼척시 노곡면 상군천리	강원도 삼척시 노곡면 상군천리	4223033031
강원도 삼척시 노곡면 상마읍리	강원도 삼척시 노곡면 상마읍리	4223033036
강원도 삼척시 노곡면 상반천리	강원도 삼척시 노곡면 상반천리	4223033024
강원도 삼척시 노곡면 상월산리	강원도 삼척시 노곡면 상월산리	4223033029
강원도 삼척시 노곡면 상천기리	강원도 삼척시 노곡면 상천기리	4223033022
강원도 삼척시 노곡면 여삼리	강원도 삼척시 노곡면 여삼리	4223033021
강원도 삼척시 노곡면 우발리	강원도 삼척시 노곡면 우발리	4223033025
강원도 삼척시 노곡면 주지리	강원도 삼척시 노곡면 주지리	4223033033
강원도 삼척시 노곡면 중마읍리	강원도 삼척시 노곡면 중마읍리	4223033035
강원도 삼척시 노곡면 하군천리	강원도 삼척시 노곡면 하군천리	4223033030
강원도 삼척시 노곡면 하마읍리	강원도 삼척시 노곡면 하마읍리	4223033034
강원도 삼척시 노곡면 하반천리	강원도 삼척시 노곡면 하반천리	4223033023
강원도 삼척시 노곡면 하월산리	강원도 삼척시 노곡면 하월산리	4223033027
강원도 삼척시 당저동	강원도 삼척시 당저동	4223010500
강원도 삼척시 도경동	강원도 삼척시 도경동	4223011400
강원도 삼척시 도계읍 고사리	강원도 삼척시 도계읍 고사리	4223025023
강원도 삼척시 도계읍 구사리	강원도 삼척시 도계읍 구사리	4223025036
강원도 삼척시 도계읍 늑구리	강원도 삼척시 도계읍 늑구리	4223025027
강원도 삼척시 도계읍 도계리	강원도 삼척시 도계읍 도계리	4223025030
강원도 삼척시 도계읍 마교리	강원도 삼척시 도계읍 마교리	4223025029
강원도 삼척시 도계읍 무건리	강원도 삼척시 도계읍 무건리	4223025025
강원도 삼척시 도계읍 발이리	강원도 삼척시 도계읍 발이리	4223025021
강원도 삼척시 도계읍 산기리	강원도 삼척시 도계읍 산기리	4223025024
강원도 삼척시 도계읍 상덕리	강원도 삼척시 도계읍 상덕리	4223025031
강원도 삼척시 도계읍 신리	강원도 삼척시 도계읍 신리	4223025037
강원도 삼척시 도계읍 심포리	강원도 삼척시 도계읍 심포리	4223025035
강원도 삼척시 도계읍 전두리	강원도 삼척시 도계읍 전두리	4223025033
강원도 삼척시 도계읍 점리	강원도 삼척시 도계읍 점리	4223025028
강원도 삼척시 도계읍 차구리	강원도 삼척시 도계읍 차구리	4223025022
강원도 삼척시 도계읍 한내리	강원도 삼척시 도계읍 한내리	4223025026
강원도 삼척시 도계읍 황조리	강원도 삼척시 도계읍 황조리	4223025032
강원도 삼척시 도계읍 흥전리	강원도 삼척시 도계읍 흥전리	4223025034
강원도 삼척시 등봉동	강원도 삼척시 등봉동	4223011300
강원도 삼척시 마달동	강원도 삼척시 마달동	4223011000
강원도 삼척시 마평동	강원도 삼척시 마평동	4223011500
강원도 삼척시 미로면 고천리	강원도 삼척시 미로면 고천리	4223034033
강원도 삼척시 미로면 내미로리	강원도 삼척시 미로면 내미로리	4223034034
강원도 삼척시 미로면 동산리	강원도 삼척시 미로면 동산리	4223034030
강원도 삼척시 미로면 무사리	강원도 삼척시 미로면 무사리	4223034021
강원도 삼척시 미로면 사둔리	강원도 삼척시 미로면 사둔리	4223034022
강원도 삼척시 미로면 삼거리	강원도 삼척시 미로면 삼거리	4223034032
강원도 삼척시 미로면 상거노리	강원도 삼척시 미로면 상거노리	4223034024
강원도 삼척시 미로면 상사전리	강원도 삼척시 미로면 상사전리	4223034031
강원도 삼척시 미로면 상정리	강원도 삼척시 미로면 상정리	4223034025
강원도 삼척시 미로면 천기리	강원도 삼척시 미로면 천기리	4223034027
강원도 삼척시 미로면 하거노리	강원도 삼척시 미로면 하거노리	4223034023
강원도 삼척시 미로면 하사전리	강원도 삼척시 미로면 하사전리	4223034029
강원도 삼척시 미로면 하정리	강원도 삼척시 미로면 하정리	4223034026
강원도 삼척시 미로면 활기리	강원도 삼척시 미로면 활기리	4223034028
강원도 삼척시 사직동	강원도 삼척시 사직동	4223012100
강원도 삼척시 성남동	강원도 삼척시 성남동	4223011900
강원도 삼척시 성내동	강원도 삼척시 성내동	4223010100
강원도 삼척시 성북동	강원도 삼척시 성북동	4223010200
강원도 삼척시 신기면 고무릉리	강원도 삼척시 신기면 고무릉리	4223036023
강원도 삼척시 신기면 대기리	강원도 삼척시 신기면 대기리	4223036025
강원도 삼척시 신기면 대이리	강원도 삼척시 신기면 대이리	4223036024
강원도 삼척시 신기면 대평리	강원도 삼척시 신기면 대평리	4223036027
강원도 삼척시 신기면 마차리	강원도 삼척시 신기면 마차리	4223036028
강원도 삼척시 신기면 서하리	강원도 삼척시 신기면 서하리	4223036022
강원도 삼척시 신기면 신기리	강원도 삼척시 신기면 신기리	4223036021
강원도 삼척시 신기면 안의리	강원도 삼척시 신기면 안의리	4223036026
강원도 삼척시 오분동	강원도 삼척시 오분동	4223012200
강원도 삼척시 오사동	강원도 삼척시 오사동	4223011600
강원도 삼척시 우지동	강원도 삼척시 우지동	4223010900
강원도 삼척시 원당동	강원도 삼척시 원당동	4223011800
강원도 삼척시 원덕읍 갈남리	강원도 삼척시 원덕읍 갈남리	4223025321
강원도 삼척시 원덕읍 기곡리	강원도 삼척시 원덕읍 기곡리	4223025331
강원도 삼척시 원덕읍 노경리	강원도 삼척시 원덕읍 노경리	4223025328
강원도 삼척시 원덕읍 노곡리	강원도 삼척시 원덕읍 노곡리	4223025323
강원도 삼척시 원덕읍 사곡리	강원도 삼척시 원덕읍 사곡리	4223025330
강원도 삼척시 원덕읍 산양리	강원도 삼척시 원덕읍 산양리	4223025332
강원도 삼척시 원덕읍 옥원리	강원도 삼척시 원덕읍 옥원리	4223025325
강원도 삼척시 원덕읍 월천리	강원도 삼척시 원덕읍 월천리	4223025327
강원도 삼척시 원덕읍 이천리	강원도 삼척시 원덕읍 이천리	4223025324
강원도 삼척시 원덕읍 임원리	강원도 삼척시 원덕읍 임원리	4223025322
강원도 삼척시 원덕읍 호산리	강원도 삼척시 원덕읍 호산리	4223025326
강원도 삼척시 읍상동	강원도 삼척시 읍상동	4223010300
강원도 삼척시 읍중동	강원도 삼척시 읍중동	4223010400
강원도 삼척시 자원동	강원도 삼척시 자원동	4223011100
강원도 삼척시 적노동	강원도 삼척시 적노동	4223012300
강원도 삼척시 정상동	강원도 삼척시 정상동	4223012500
강원도 삼척시 정하동	강원도 삼척시 정하동	4223012600
강원도 삼척시 조비동	강원도 삼척시 조비동	4223012400
강원도 삼척시 증산동	강원도 삼척시 증산동	4223010800
강원도 삼척시 평전동	강원도 삼척시 평전동	4223011200
강원도 삼척시 하장면 갈전리	강원도 삼척시 하장면 갈전리	4223032029
강원도 삼척시 하장면 공전리	강원도 삼척시 하장면 공전리	4223032030
강원도 삼척시 하장면 광동리	강원도 삼척시 하장면 광동리	4223032024
강원도 삼척시 하장면 대전리	강원도 삼척시 하장면 대전리	4223032033
강원도 삼척시 하장면 둔전리	강원도 삼척시 하장면 둔전리	4223032031
강원도 삼척시 하장면 번천리	강원도 삼척시 하장면 번천리	4223032022
강원도 삼척시 하장면 숙암리	강원도 삼척시 하장면 숙암리	4223032023
강원도 삼척시 하장면 어리	강원도 삼척시 하장면 어리	4223032034
강원도 삼척시 하장면 역둔리	강원도 삼척시 하장면 역둔리	4223032032
강원도 삼척시 하장면 용연리	강원도 삼척시 하장면 용연리	4223032036
강원도 삼척시 하장면 장전리	강원도 삼척시 하장면 장전리	4223032025
강원도 삼척시 하장면 중봉리	강원도 삼척시 하장면 중봉리	4223032021
강원도 삼척시 하장면 추동리	강원도 삼척시 하장면 추동리	4223032026
강원도 삼척시 하장면 토산리	강원도 삼척시 하장면 토산리	4223032028
강원도 삼척시 하장면 판문리	강원도 삼척시 하장면 판문리	4223032035
강원도 삼척시 하장면 한소리	강원도 삼척시 하장면 한소리	4223032027
강원도 속초시 교동	강원도 속초시 교동	4221010600
강원도 속초시 금호동	강원도 속초시 금호동	4221010400
강원도 속초시 노학동	강원도 속초시 노학동	4221010700
강원도 속초시 대포동	강원도 속초시 대포동	4221011000
강원도 속초시 도문동	강원도 속초시 도문동	4221011100
강원도 속초시 동명동	강원도 속초시 동명동	4221010200
강원도 속초시 설악동	강원도 속초시 설악동	4221011200
강원도 속초시 영랑동	강원도 속초시 영랑동	4221010100
강원도 속초시 장사동	강원도 속초시 장사동	4221011300
강원도 속초시 조양동	강원도 속초시 조양동	4221010800
강원도 속초시 중앙동	강원도 속초시 중앙동	4221010300
강원도 속초시 청학동	강원도 속초시 청학동	4221010500
강원도 속초시 청호동	강원도 속초시 청호동	4221010900
강원도 양구군 남면 가오작리	강원도 양구군 남면 가오작리	4280031022
강원도 양구군 남면 구암리	강원도 양구군 남면 구암리	4280031030
강원도 양구군 남면 도촌리	강원도 양구군 남면 도촌리	4280031029
강원도 양구군 남면 두무리	강원도 양구군 남면 두무리	4280031034
강원도 양구군 남면 명곶리	강원도 양구군 남면 명곶리	4280031035
강원도 양구군 남면 송우리	강원도 양구군 남면 송우리	4280031026
강원도 양구군 남면 심포리	강원도 양구군 남면 심포리	4280031032
강원도 양구군 남면 야촌리	강원도 양구군 남면 야촌리	4280031023
강원도 양구군 남면 용하리	강원도 양구군 남면 용하리	4280031024
강원도 양구군 남면 원리	강원도 양구군 남면 원리	4280031033
강원도 양구군 남면 적리	강원도 양구군 남면 적리	4280031021
강원도 양구군 남면 죽리	강원도 양구군 남면 죽리	4280031031
강원도 양구군 남면 창리	강원도 양구군 남면 창리	4280031028
강원도 양구군 남면 청리	강원도 양구군 남면 청리	4280031025
강원도 양구군 남면 황강리	강원도 양구군 남면 황강리	4280031027
강원도 양구군 동면 덕곡리	강원도 양구군 동면 덕곡리	4280032024
강원도 양구군 동면 원당리	강원도 양구군 동면 원당리	4280032023
강원도 양구군 동면 월운리	강원도 양구군 동면 월운리	4280032027
강원도 양구군 동면 임당리	강원도 양구군 동면 임당리	4280032025
강원도 양구군 동면 지석리	강원도 양구군 동면 지석리	4280032022
