원본	매칭용처리후	법정동코드
제주특별자치도 서귀포시 안덕면 사계리	제주특별자치도 서귀포시 안덕면 사계리	5013031025
제주특별자치도 서귀포시 안덕면 상창리	제주특별자치도 서귀포시 안덕면 상창리	5013031024
제주특별자치도 서귀포시 안덕면 상천리	제주특별자치도 서귀포시 안덕면 상천리	5013031030
제주특별자치도 서귀포시 안덕면 서광리	제주특별자치도 서귀포시 안덕면 서광리	5013031027
제주특별자치도 서귀포시 안덕면 창천리	제주특별자치도 서귀포시 안덕면 창천리	5013031022
제주특별자치도 서귀포시 안덕면 화순리	제주특별자치도 서귀포시 안덕면 화순리	5013031021
제주특별자치도 서귀포시 영남동	제주특별자치도 서귀포시 영남동	5013012200
제주특별자치도 서귀포시 월평동	제주특별자치도 서귀포시 월평동	5013011500
제주특별자치도 서귀포시 중문동	제주특별자치도 서귀포시 중문동	5013011200
제주특별자치도 서귀포시 토평동	제주특별자치도 서귀포시 토평동	5013011100
제주특별자치도 서귀포시 표선면 가시리	제주특별자치도 서귀포시 표선면 가시리	5013032024
제주특별자치도 서귀포시 표선면 성읍리	제주특별자치도 서귀포시 표선면 성읍리	5013032023
제주특별자치도 서귀포시 표선면 세화리	제주특별자치도 서귀포시 표선면 세화리	5013032025
제주특별자치도 서귀포시 표선면 토산리	제주특별자치도 서귀포시 표선면 토산리	5013032026
제주특별자치도 서귀포시 표선면 표선리	제주특별자치도 서귀포시 표선면 표선리	5013032021
제주특별자치도 서귀포시 표선면 하천리	제주특별자치도 서귀포시 표선면 하천리	5013032022
제주특별자치도 서귀포시 하예동	제주특별자치도 서귀포시 하예동	5013012100
제주특별자치도 서귀포시 하원동	제주특별자치도 서귀포시 하원동	5013011800
제주특별자치도 서귀포시 하효동	제주특별자치도 서귀포시 하효동	5013010800
제주특별자치도 서귀포시 호근동	제주특별자치도 서귀포시 호근동	5013010400
제주특별자치도 서귀포시 회수동	제주특별자치도 서귀포시 회수동	5013011300
제주특별자치도 제주시 건입동	제주특별자치도 제주시 건입동	5011010700
제주특별자치도 제주시 구좌읍 김녕리	제주특별자치도 제주시 구좌읍 김녕리	5011025634
제주특별자치도 제주시 구좌읍 덕천리	제주특별자치도 제주시 구좌읍 덕천리	5011025624
제주특별자치도 제주시 구좌읍 동복리	제주특별자치도 제주시 구좌읍 동복리	5011025621
제주특별자치도 제주시 구좌읍 상도리	제주특별자치도 제주시 구좌읍 상도리	5011025629
제주특별자치도 제주시 구좌읍 세화리	제주특별자치도 제주시 구좌읍 세화리	5011025628
제주특별자치도 제주시 구좌읍 송당리	제주특별자치도 제주시 구좌읍 송당리	5011025625
제주특별자치도 제주시 구좌읍 월정리	제주특별자치도 제주시 구좌읍 월정리	5011025626
제주특별자치도 제주시 구좌읍 종달리	제주특별자치도 제주시 구좌읍 종달리	5011025632
제주특별자치도 제주시 구좌읍 평대리	제주특별자치도 제주시 구좌읍 평대리	5011025633
제주특별자치도 제주시 구좌읍 하도리	제주특별자치도 제주시 구좌읍 하도리	5011025631
제주특별자치도 제주시 구좌읍 한동리	제주특별자치도 제주시 구좌읍 한동리	5011025630
제주특별자치도 제주시 구좌읍 행원리	제주특별자치도 제주시 구좌읍 행원리	5011025627
제주특별자치도 제주시 내도동	제주특별자치도 제주시 내도동	5011014000
제주특별자치도 제주시 노형동	제주특별자치도 제주시 노형동	5011012200
제주특별자치도 제주시 도남동	제주특별자치도 제주시 도남동	5011012900
제주특별자치도 제주시 도두이동	제주특별자치도 제주시 도두이동	5011012800
제주특별자치도 제주시 도두일동	제주특별자치도 제주시 도두일동	5011012700
제주특별자치도 제주시 도련이동	제주특별자치도 제주시 도련이동	5011013100
제주특별자치도 제주시 도련일동	제주특별자치도 제주시 도련일동	5011013000
제주특별자치도 제주시 도평동	제주특별자치도 제주시 도평동	5011013800
제주특별자치도 제주시 봉개동	제주특별자치도 제주시 봉개동	5011011600
제주특별자치도 제주시 삼도이동	제주특별자치도 제주시 삼도이동	5011010600
제주특별자치도 제주시 삼도일동	제주특별자치도 제주시 삼도일동	5011010500
제주특별자치도 제주시 삼양삼동	제주특별자치도 제주시 삼양삼동	5011011500
제주특별자치도 제주시 삼양이동	제주특별자치도 제주시 삼양이동	5011011400
제주특별자치도 제주시 삼양일동	제주특별자치도 제주시 삼양일동	5011011300
제주특별자치도 제주시 아라이동	제주특별자치도 제주시 아라이동	5011011800
제주특별자치도 제주시 아라일동	제주특별자치도 제주시 아라일동	5011011700
제주특별자치도 제주시 애월읍 고내리	제주특별자치도 제주시 애월읍 고내리	5011025333
제주특별자치도 제주시 애월읍 고성리	제주특별자치도 제주시 애월읍 고성리	5011025329
제주특별자치도 제주시 애월읍 곽지리	제주특별자치도 제주시 애월읍 곽지리	5011025337
제주특별자치도 제주시 애월읍 광령리	제주특별자치도 제주시 애월읍 광령리	5011025321
제주특별자치도 제주시 애월읍 구엄리	제주특별자치도 제주시 애월읍 구엄리	5011025324
제주특별자치도 제주시 애월읍 금성리	제주특별자치도 제주시 애월읍 금성리	5011025338
제주특별자치도 제주시 애월읍 납읍리	제주특별자치도 제주시 애월읍 납읍리	5011025335
제주특별자치도 제주시 애월읍 봉성리	제주특별자치도 제주시 애월읍 봉성리	5011025339
제주특별자치도 제주시 애월읍 상가리	제주특별자치도 제주시 애월읍 상가리	5011025331
제주특별자치도 제주시 애월읍 상귀리	제주특별자치도 제주시 애월읍 상귀리	5011025323
제주특별자치도 제주시 애월읍 소길리	제주특별자치도 제주시 애월읍 소길리	5011025328
제주특별자치도 제주시 애월읍 수산리	제주특별자치도 제주시 애월읍 수산리	5011025325
제주특별자치도 제주시 애월읍 신엄리	제주특별자치도 제주시 애월읍 신엄리	5011025326
